Well_orderAsTracked,Empty,Treatment,Plate,Family,Male
FALSE,FALSE,TRUE,1,NC1,FALSE
FALSE,FALSE,TRUE,1,NC1,TRUE
FALSE,FALSE,TRUE,1,NC2,TRUE
TRUE,FALSE,TRUE,1,NC2,TRUE
TRUE,FALSE,TEST,1,NC3,TRUE
TRUE,FALSE,TRUE,1,NC3,TRUE
TRUE,FALSE,TRUE,1,NC4,TRUE
TRUE,FALSE,TEST,1,NC4,TRUE
TRUE,FALSE,TEST,1,NC5,TRUE
TRUE,FALSE,FALSE,1,NC5,TRUE
FALSE,FALSE,FALSE,1,NC7,TRUE
FALSE,FALSE,FALSE,1,NC7,TRUE
FALSE,FALSE,TEST,1,NC7,FALSE
TRUE,FALSE,FALSE,1,NC10,FALSE
TRUE,FALSE,FALSE,1,NC10,FALSE
TRUE,FALSE,FALSE,1,NC10,FALSE
FALSE,FALSE,FALSE,1,NC7,FALSE
FALSE,FALSE,FALSE,1,NC7,FALSE
FALSE,FALSE,FALSE,1,NC7,FALSE
TRUE,FALSE,FALSE,1,NC10,FALSE
TRUE,FALSE,FALSE,1,NC10,FALSE
FALSE,FALSE,TRUE,2,NC2,FALSE
FALSE,FALSE,TRUE,2,NC2,FALSE
FALSE,FALSE,TRUE,2,NC2,FALSE
TRUE,FALSE,TRUE,2,NN18,FALSE
TRUE,FALSE,TRUE,2,NN18,FALSE
TRUE,FALSE,TRUE,2,NN18,FALSE
FALSE,FALSE,TRUE,2,NC2,FALSE
FALSE,FALSE,TRUE,2,NC2,FALSE
TRUE,FALSE,TRUE,2,NN18,FALSE
TRUE,FALSE,TRUE,2,NN18,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
FALSE,FALSE,FALSE,2,NC2,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
TRUE,FALSE,FALSE,2,NN18,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
TRUE,FALSE,TRUE,3,NN17,FALSE
TRUE,FALSE,TRUE,3,NN17,FALSE
TRUE,FALSE,TRUE,3,NN17,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
FALSE,FALSE,TRUE,3,NC10,FALSE
TRUE,FALSE,TRUE,3,NN17,FALSE
TRUE,FALSE,TRUE,3,NN17,FALSE
FALSE,FALSE,FALSE,3,NC10,FALSE
FALSE,FALSE,FALSE,3,NC10,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
FALSE,FALSE,FALSE,3,NC10,FALSE
FALSE,FALSE,FALSE,3,NC10,FALSE
FALSE,FALSE,FALSE,3,NC10,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
TRUE,FALSE,FALSE,3,NN17,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
TRUE,FALSE,TRUE,4,NC2,FALSE
TRUE,FALSE,TRUE,4,NC2,FALSE
TRUE,FALSE,TRUE,4,NC2,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
FALSE,FALSE,TRUE,4,NC4,FALSE
TRUE,FALSE,TRUE,4,NC2,FALSE
TRUE,FALSE,TRUE,4,NC2,FALSE
FALSE,FALSE,FALSE,4,NC4,FALSE
FALSE,FALSE,FALSE,4,NC4,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
FALSE,FALSE,FALSE,4,NC4,FALSE
FALSE,FALSE,FALSE,4,NC4,FALSE
FALSE,FALSE,FALSE,4,NC4,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
TRUE,FALSE,FALSE,4,NC2,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
FALSE,FALSE,TRUE,5,NC23,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
TRUE,FALSE,TRUE,5,NC21,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
TRUE,FALSE,FALSE,5,NC21,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
FALSE,FALSE,FALSE,5,NC23,FALSE
TRUE,FALSE,FALSE,5,NC21,FALSE
TRUE,FALSE,FALSE,5,NC21,FALSE
TRUE,FALSE,FALSE,5,NC21,FALSE
